songs,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Heat Waves,Glass Animals,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
Stay,The Kid LAROI & Justin Bieber,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928
Super Gremlin,Kodak Black,0.825,0.414,2,-6.634,1,0.144,0.00265,0,0.357,0.106,72.993
abcdefu,GAYLE,0.695,0.54,4,-5.692,1,0.0493,0.299,0,0.367,0.415,121.932
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",0.577,0.45,0,-8.516,0,0.0834,0.357,0,0.111,0.83,205.863
Ghost,Justin Bieber,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96
Easy On Me,Adele,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981
Thats What I Want,Lil Nas X,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981
Bad Habits,Ed Sheeran,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011
Woman,Doja Cat,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998
Cold Heart (PNAU Remix),Elton John & Dua Lipa,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032
Big Energy,Latto,0.935,0.807,11,-3.838,0,0.114,0.0514,0,0.349,0.813,106.017
Sweetest Pie,Megan Thee Stallion & Dua Lipa,0.814,0.628,7,-7.178,1,0.221,0.167,0,0.101,0.677,123.977
Need To Know,Doja Cat,0.664,0.609,1,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041
Save Your Tears,The Weeknd & Ariana Grande,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051
Ahhh Ha,Lil Durk,0.676,0.61,1,-9.185,1,0.273,0.000114,1.73e-06,0.191,0.519,156.005
Levitating,Dua Lipa,0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977
Pushin P,Gunna & Future Featuring Young Thug,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502
Industry Baby,Lil Nas X & Jack Harlow,0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995
'Til You Can't,Cody Johnson,0.501,0.815,1,-4.865,1,0.0436,0.0513,0,0.106,0.46,160.087
One Right Now,Post Malone & The Weeknd,0.687,0.781,1,-4.806,1,0.053,0.0361,0,0.0755,0.688,97.014
What Happened To Virgil,Lil Durk Featuring Gunna,0.795,0.526,6,-9.086,0,0.204,0.067,2e-06,0.134,0.194,140.037
I Hate U,SZA,0.535,0.388,7,-9.805,0,0.155,0.507,0,0.11,0.412,106.703
Petty Too,Lil Durk Featuring Future,0.824,0.577,2,-9.443,1,0.357,0.0109,0,0.107,0.442,154.081
Hrs And Hrs,Muni Long,0.511,0.525,8,-4.595,0,0.183,0.604,0,0.111,0.661,139.885
MAMIII,Becky G X Karol G,0.843,0.7,4,-3.563,0,0.0803,0.0934,0,0.14,0.899,93.991
Surface Pressure,Jessica Darrow,0.65,0.584,2,-8.286,1,0.307,0.0174,1.54e-06,0.042,0.37,180.088
No Interviews,Lil Durk,0.701,0.61,6,-6.639,0,0.306,0.0113,0,0.109,0.598,157.995
