songs,artists
Heat Waves,Glass Animals
Stay,The Kid LAROI & Justin Bieber
Super Gremlin,Kodak Black
abcdefu,GAYLE
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
Ghost,Justin Bieber
Easy On Me,Adele
Enemy,Imagine Dragons X JID
Thats What I Want,Lil Nas X
Bad Habits,Ed Sheeran
Shivers,Ed Sheeran
Woman,Doja Cat
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Big Energy,Latto
Sweetest Pie,Megan Thee Stallion & Dua Lipa
Need To Know,Doja Cat
Save Your Tears,The Weeknd & Ariana Grande
Ahhh Ha,Lil Durk
Levitating,Dua Lipa
Pushin P,Gunna & Future Featuring Young Thug
Industry Baby,Lil Nas X & Jack Harlow
'Til You Can't,Cody Johnson
One Right Now,Post Malone & The Weeknd
What Happened To Virgil,Lil Durk Featuring Gunna
I Hate U,SZA
Petty Too,Lil Durk Featuring Future
Hrs And Hrs,Muni Long
MAMIII,Becky G X Karol G
Surface Pressure,Jessica Darrow
No Interviews,Lil Durk
You Right,Doja Cat & The Weeknd
Good 4 U,Olivia Rodrigo
Light Switch,Charlie Puth
Golden Child,Lil Durk
Buy Dirt,Jordan Davis Featuring Luke Bryan
Fancy Like,Walker Hayes
Thinking With My Dick,Kevin Gates Featuring Juicy J
Fingers Crossed,Lauren Spencer-Smith
Bam Bam,Camila Cabello Featuring Ed Sheeran
Handsomer,Russ Featuring Ktlyn
Love Nwantiti (Ah Ah Ah),CKay
Beers On Me,"Dierks Bentley, Breland & HARDY"
Broadway Girls,Lil Durk Featuring Morgan Wallen
Sand In My Boots,Morgan Wallen
Doin' This,Luke Combs
Something In The Way,Nirvana
Knife Talk,Drake Featuring 21 Savage & Project Pat
Barbarian,Lil Durk
Boyfriend,Dove Cameron
To Be Loved By You,Parker McCollum
Never Say Never,Cole Swindell / Lainey Wilson
AA,Walker Hayes
Shootout @ My Crib,Lil Durk
Numb Little Bug,Em Beihold
Started From,Lil Durk
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast"
Headtaps,Lil Durk
She's All I Wanna Be,Tate McRae
Smoking & Thinking,Lil Durk
23,Sam Hunt
Slow Down Summer,Thomas Rhett
Peru,Fireboy DML & Ed Sheeran
The Motto,Tiesto & Ava Max
Grow Up/Keep It On Speaker,Lil Durk
Do We Have A Problem?,Nicki Minaj X Lil Baby
What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
Nail Tech,Jack Harlow
Blocklist,Lil Durk
Me Or Sum,"Nardo Wick, Lil Baby & Future"
Heart On Fire,Eric Church
Dos Oruguitas,Sebastian Yatra
Difference Is,Lil Durk Featuring Summer Walker
Circles Around This Town,Maren Morris
Freaky Deaky,Tyga X Doja Cat
If I Was A Cowboy,Miranda Lambert
Beautiful Lies,Yung Bleu & Kehlani
Flower Shops,ERNEST Featuring Morgan Wallen
Sacrifice,The Weeknd
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
To The Moon!,JNR CHOI & Sam Tompkins
P Power,Gunna Featuring Drake
High,The Chainsmokers
Pressure,Ari Lennox
Federal Nightmares,Lil Durk
Rumors,Gucci Mane Featuring Lil Durk
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
I Love You So,The Walters
Banking On Me,Gunna
Give Heaven Some Hell,HARDY
I'm Tired,Labrinth & Zendaya
Bones,Imagine Dragons
Rocking A Cardigan In Atlanta,Lil Shordie Scott
Pissed Me Off,Lil Durk
By Your Side,Rod Wave
Waiting On A Miracle,Stephanie Beatriz
I Hate YoungBoy,YoungBoy Never Broke Again
City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys"
Closer,Saweetie Featuring H.E.R.
