songs,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Wait For U,Future Featuring Drake & Tems,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,59nOXPmaKlBfGMDeOVGrIK,spotify:track:59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/audio-analysis/59nOXPmaKlBfGMDeOVGrIK,189893,4
As It Was,Harry Styles,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303,4
First Class,Jack Harlow,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,audio_features,1rDQ4oMwGJI7B4tovsBOxc,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/tracks/1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/audio-analysis/1rDQ4oMwGJI7B4tovsBOxc,173948,4
Puffin On Zootiez,Future,0.883,0.657,8,-5.748,1,0.305,0.0603,0.0,0.128,0.284,124.992,audio_features,1qMMYpVatbRITKCfq1gasi,spotify:track:1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/tracks/1qMMYpVatbRITKCfq1gasi,https://api.spotify.com/v1/audio-analysis/1qMMYpVatbRITKCfq1gasi,172933,4
Heat Waves,Glass Animals,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805,4
Big Energy,Latto,0.935,0.807,11,-3.838,0,0.114,0.0514,0.0,0.349,0.813,106.017,audio_features,6Zu3aw7FfjAF9WA0fA81Oq,spotify:track:6Zu3aw7FfjAF9WA0fA81Oq,https://api.spotify.com/v1/tracks/6Zu3aw7FfjAF9WA0fA81Oq,https://api.spotify.com/v1/audio-analysis/6Zu3aw7FfjAF9WA0fA81Oq,173182,4
Enemy,Imagine Dragons X JID,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,audio_features,1r9xUipOqoNwggBpENDsvJ,spotify:track:1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/tracks/1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/audio-analysis/1r9xUipOqoNwggBpENDsvJ,173381,4
712PM,Future,0.711,0.686,5,-6.409,0,0.271,0.0355,0.0,0.124,0.536,146.971,audio_features,3FSwpQ9dBZBeBV6UdYHI2R,spotify:track:3FSwpQ9dBZBeBV6UdYHI2R,https://api.spotify.com/v1/tracks/3FSwpQ9dBZBeBV6UdYHI2R,https://api.spotify.com/v1/audio-analysis/3FSwpQ9dBZBeBV6UdYHI2R,173187,4
Stay,The Kid LAROI & Justin Bieber,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806,4
I'm Dat N***a,Future,0.788,0.451,1,-9.313,1,0.318,0.118,0.0,0.134,0.302,89.97,audio_features,1KLhUURHRl72xGO5A94lme,spotify:track:1KLhUURHRl72xGO5A94lme,https://api.spotify.com/v1/tracks/1KLhUURHRl72xGO5A94lme,https://api.spotify.com/v1/audio-analysis/1KLhUURHRl72xGO5A94lme,271067,4
I'm On One,Future Featuring Drake,0.773,0.707,11,-5.71,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977,audio_features,6wyhUr4Xw8z5uSy0AhoZfU,spotify:track:6wyhUr4Xw8z5uSy0AhoZfU,https://api.spotify.com/v1/tracks/6wyhUr4Xw8z5uSy0AhoZfU,https://api.spotify.com/v1/audio-analysis/6wyhUr4Xw8z5uSy0AhoZfU,236187,4
Love You Better,Future,0.709,0.357,5,-9.289,1,0.214,0.478,0.000294,0.112,0.544,75.494,audio_features,4XJRpBOG0bU3Nxnvam3FnC,spotify:track:4XJRpBOG0bU3Nxnvam3FnC,https://api.spotify.com/v1/tracks/4XJRpBOG0bU3Nxnvam3FnC,https://api.spotify.com/v1/audio-analysis/4XJRpBOG0bU3Nxnvam3FnC,129480,4
Woman,Doja Cat,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,6Uj1ctrBOjOas8xZXGqKk4,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627,4
Ghost,Justin Bieber,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,audio_features,6I3mqTwhRpn34SLVafSH7G,spotify:track:6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/audio-analysis/6I3mqTwhRpn34SLVafSH7G,153190,4
Keep It Burnin,Future Featuring Kanye West,0.652,0.578,0,-6.187,1,0.161,0.00861,0.0,0.285,0.195,87.395,audio_features,7rWCWzPRftzZTZtIyQtaDU,spotify:track:7rWCWzPRftzZTZtIyQtaDU,https://api.spotify.com/v1/tracks/7rWCWzPRftzZTZtIyQtaDU,https://api.spotify.com/v1/audio-analysis/7rWCWzPRftzZTZtIyQtaDU,207213,4
Super Gremlin,Kodak Black,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,audio_features,4A8cWXxKfIL3lAyUDzXbCF,spotify:track:4A8cWXxKfIL3lAyUDzXbCF,https://api.spotify.com/v1/tracks/4A8cWXxKfIL3lAyUDzXbCF,https://api.spotify.com/v1/audio-analysis/4A8cWXxKfIL3lAyUDzXbCF,200548,4
Thats What I Want,Lil Nas X,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,audio_features,0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4
Bad Habits,Ed Sheeran,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,audio_features,3rmo8F54jFF8OgYsqTxm5d,spotify:track:3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/tracks/3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/audio-analysis/3rmo8F54jFF8OgYsqTxm5d,230747,4
About Damn Time,Lizzo,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,audio_features,1PckUlxKqWQs3RlWXVBLw3,spotify:track:1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/tracks/1PckUlxKqWQs3RlWXVBLw3,https://api.spotify.com/v1/audio-analysis/1PckUlxKqWQs3RlWXVBLw3,191822,4
Massaging Me,Future,0.916,0.453,1,-4.148,1,0.158,0.000189,0.0,0.137,0.152,145.007,audio_features,2tzgSUZOUKopYbRqQOVT8X,spotify:track:2tzgSUZOUKopYbRqQOVT8X,https://api.spotify.com/v1/tracks/2tzgSUZOUKopYbRqQOVT8X,https://api.spotify.com/v1/audio-analysis/2tzgSUZOUKopYbRqQOVT8X,106133,4
Shivers,Ed Sheeran,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,audio_features,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/tracks/50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/audio-analysis/50nfwKoDiSYg8zOCREWAm5,207853,4
Cold Heart (PNAU Remix),Elton John & Dua Lipa,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,audio_features,6zSpb8dQRaw0M1dK8PBwQz,spotify:track:6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/tracks/6zSpb8dQRaw0M1dK8PBwQz,https://api.spotify.com/v1/audio-analysis/6zSpb8dQRaw0M1dK8PBwQz,202735,4
abcdefu,GAYLE,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,audio_features,4fouWK6XVHhzl78KzQ1UjL,spotify:track:4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,168602,4
For A Nut,Future Featuring Gunna & Young Thug,0.824,0.667,10,-6.603,0,0.0814,0.00321,2.65e-06,0.0956,0.305,82.037,audio_features,7HCX1Ch3mklJyEdpwPZBFW,spotify:track:7HCX1Ch3mklJyEdpwPZBFW,https://api.spotify.com/v1/tracks/7HCX1Ch3mklJyEdpwPZBFW,https://api.spotify.com/v1/audio-analysis/7HCX1Ch3mklJyEdpwPZBFW,207933,4
