songs,artists
Wait For U,Future Featuring Drake & Tems
As It Was,Harry Styles
First Class,Jack Harlow
Puffin On Zootiez,Future
Heat Waves,Glass Animals
Big Energy,Latto
Enemy,Imagine Dragons X JID
712PM,Future
Stay,The Kid LAROI & Justin Bieber
I'm Dat N***a,Future
I'm On One,Future Featuring Drake
Love You Better,Future
Woman,Doja Cat
Ghost,Justin Bieber
Keep It Burnin,Future Featuring Kanye West
Super Gremlin,Kodak Black
Thats What I Want,Lil Nas X
Bad Habits,Ed Sheeran
About Damn Time,Lizzo
Massaging Me,Future
Shivers,Ed Sheeran
Cold Heart (PNAU Remix),Elton John & Dua Lipa
abcdefu,GAYLE
For A Nut,Future Featuring Gunna & Young Thug
Provenza,Karol G
Chickens,Future Featuring EST Gee
MAMIII,Becky G X Karol G
Bam Bam,Camila Cabello Featuring Ed Sheeran
Gold Stacks,Future
Wasted On You,Morgan Wallen
Industry Baby,Lil Nas X & Jack Harlow
'Til You Can't,Cody Johnson
Need To Know,Doja Cat
Boyfriend,Dove Cameron
AA,Walker Hayes
Easy On Me,Adele
One Right Now,Post Malone & The Weeknd
In A Minute,Lil Baby
Voodoo,Future Featuring Kodak Black
Numb Little Bug,Em Beihold
Sweetest Pie,Megan Thee Stallion & Dua Lipa
To The Moon!,JNR CHOI & Sam Tompkins
Thousand Miles,The Kid LAROI
Honest,Justin Bieber & Don Toliver
We Jus Wanna Get High,Future
Holy Ghost,Future
Hrs And Hrs,Muni Long
Doin' This,Luke Combs
Good 4 U,Olivia Rodrigo
Trouble With A Heartbreak,Jason Aldean
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
Right On,Lil Baby
Never Say Never,Cole Swindell / Lainey Wilson
Frozen,Lil Baby
If I Was A Cowboy,Miranda Lambert
She's All I Wanna Be,Tate McRae
Take My Name,Parmalee
Back To The Basics,Future
When You're Gone,Shawn Mendes
The Way Things Going,Future
What Happened To Virgil,Lil Durk Featuring Gunna
Damn Strait,Scotty McCreery
Peru,Fireboy DML & Ed Sheeran
The Motto,Tiesto & Ava Max
Freaky Deaky,Tyga X Doja Cat
Don't Think Jesus,Morgan Wallen
Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
Pushin P,Gunna & Future Featuring Young Thug
Fingers Crossed,Lauren Spencer-Smith
2step,Ed Sheeran Featuring Lil Baby
Beers On Me,"Dierks Bentley, BRELAND & HARDY"
Get Into It (Yuh),Doja Cat
Flowers,Lauren Spencer-Smith
Slow Down Summer,Thomas Rhett
23,Sam Hunt
Me Or Sum,"Nardo Wick, Lil Baby & Future"
Something In The Orange,Zach Bryan
Give Heaven Some Hell,HARDY
Plan B,Megan Thee Stallion
That That,PSY Featuring SUGA
Broadway Girls,Lil Durk Featuring Morgan Wallen
In The Stars,Benson Boone
Flower Shops,ERNEST Featuring Morgan Wallen
No Love,Summer Walker & SZA
Nail Tech,Jack Harlow
Handsomer,Russ Featuring Ktlyn
Surface Pressure,Jessica Darrow
Light Switch,Charlie Puth
Circles Around This Town,Maren Morris
I Love You So,The Walters
Fall In Love,Bailey Zimmerman
Envolver,Anitta
Do We Have A Problem?,Nicki Minaj X Lil Baby
Love Me More,Sam Smith
She Likes It,Russell Dickerson & Jake Scott
Ahhh Ha,Lil Durk
Rumors,Gucci Mane Featuring Lil Durk
Over,Lucky Daye
Shake It,"Kay Flock, Cardi B, Dougie B & Bory300"
Hate Our Love,Queen Naija & Big Sean
